date,EFH_electricity_bus_shortage_output1,EFH_pv_bus_excess_input1,EFH_hp_electricity_bus_shortage_output1,EFH_pv_to_EFH_electricity_link_input1,EFH_pv_to_EFH_electricity_link_output1,EFH_battery_storage_input1,EFH_battery_storage_output1,EFH_battery_storage_capacity,EFH_thermal_storage_input1,EFH_thermal_storage_output1,EFH_thermal_storage_capacity,EFH_electricity_to_EFH_hp_electricity_bus_input1,EFH_electricity_to_EFH_hp_electricity_bus_output1,EFH_electricity_sink_input1,EFH_heat_sink_input1,EFH_GCHP_transformer_input1,EFH_GCHP_transformer_input2,EFH_GCHP_transformer_output1,EFH_ASHP_transformer_input1,EFH_ASHP_transformer_input2,EFH_ASHP_transformer_output1,EFH_photovoltaic_electricity_source_output1
2011-12-05 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.21981735,3.0053201,0.0,1.9763341,4.4291379,-0.0,0.0,0.21981734937784392,1.9763340926557995,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2011-12-05 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.20147801,2.7997303,0.0,2.0622617,2.3247893,-0.0,0.0,0.20147801084342357,2.062261661901704,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2011-12-05 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.67089765,2.1151409,0.0,0.31829347,2.0,0.47471767,0.47471767,0.1961799797112577,2.3677819081093636,0.47471767,1.5747708,2.0494884,0.0,0.0,-0.0,0.0
2011-12-05 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92469872,1.1715708,0.0,0.0,2.0,0.7253603,0.7253603,0.1993384213477412,3.1315825236285133,0.7253603,2.4062222,3.1315825,0.0,0.0,-0.0,0.0
2011-12-05 05:00:00,0.070475815,0.0,1.0725602,0.0,0.0,0.0,0.16813936,1.0,0.0,0.0,2.0,-0.0,0.0,0.2386151713756248,4.630541231584845,1.0725602,3.557981,4.6305412,0.0,0.0,-0.0,0.0
2011-12-05 06:00:00,0.45894195,0.0,1.3711079,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.4589419468238693,5.9194547702734095,1.3711079,4.5483469,5.9194548,0.0,0.0,-0.0,0.0
2011-12-05 07:00:00,0.65935016,0.0,1.2782264,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.6593501629194517,5.5184594471258555,1.2782264,4.2402331,5.5184594,0.0,0.0,-0.0,0.0
2011-12-05 08:00:00,0.6800838,0.0,1.1654417,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.6800838039847547,5.031536554732398,1.1654417,3.8660948,5.0315366,0.0,0.0,-0.0,0.0
2011-12-05 09:00:00,0.6277148,0.0,1.0747717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.6277148039475765,4.640088739278833,1.0747717,3.5653171,4.6400887,0.0,0.0,-0.0,0.0
2011-12-05 10:00:00,0.59200404,0.0,0.99737042,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.592004036412497,4.305925969989206,0.99737042,3.3085556,4.305926,0.0,0.0,-0.0,0.0
2011-12-05 11:00:00,0.60275293,0.0,0.95092966,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.6027529264979489,4.105428308415429,0.95092966,3.1544986,4.1054283,0.0,0.0,-0.0,0.0
2011-12-05 12:00:00,0.66587082,0.0,0.93766088,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.665870816620579,4.048143262251493,0.93766088,3.1104824,4.0481433,0.0,0.0,-0.0,0.0
2011-12-05 13:00:00,0.65970676,0.0,0.93323795,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.6597067611687322,4.029048246863514,0.93323795,3.0958103,4.0290482,0.0,0.0,-0.0,0.0
2011-12-05 14:00:00,0.58762297,0.0,0.95977552,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.5876229722070521,4.143618339191387,0.95977552,3.1838428,4.1436183,0.0,0.0,-0.0,0.0
2011-12-05 15:00:00,0.53398041,0.0,1.0017933,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.5339804069938726,4.325020985377184,1.0017933,3.3232276,4.325021,0.0,0.0,-0.0,0.0
2011-12-05 16:00:00,0.53596717,0.0,1.0592914,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.5359671686684347,4.573256185420908,1.0592914,3.5139648,4.5732562,0.0,0.0,-0.0,0.0
2011-12-05 17:00:00,0.65547852,0.0,1.1278468,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.6554785247844075,4.869228923934578,1.1278468,3.7413821,4.8692289,0.0,0.0,-0.0,0.0
2011-12-05 18:00:00,0.84661519,0.0,1.1565958,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.8466151863986995,4.99334652395644,1.1565958,3.8367507,4.9933465,0.0,0.0,-0.0,0.0
2011-12-05 19:00:00,0.95303429,0.0,1.1654417,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.9530342925053776,5.031536554732398,1.1654417,3.8660948,5.0315366,0.0,0.0,-0.0,0.0
2011-12-05 20:00:00,0.85705842,0.0,1.1123666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.8570584208419111,4.802396370076653,1.1123666,3.6900298,4.8023964,0.0,0.0,-0.0,0.0
2011-12-05 21:00:00,0.71813793,0.0,0.96862138,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.7181379314436769,4.181808369967344,0.96862138,3.213187,4.1818084,0.0,0.0,-0.0,0.0
